wall_type,wall_ext_rigid_in,roof_type,roof_deck_rigid_in,window_rsi,window_shgc,slab_rsi,furnace_efficiency_pct,eui_kwh_m2_yr,tedi_kwh_m2_yr,heating_demand_kwh_yr,peak_heating_load_w,peak_cooling_load_w,error
WA2,1.23,RA2,4.3,0.715,0.378,2.13,85.1,55.365729685396026,34.84829616572989,3623.448353454314,5870.32421875,3333.511962891,
WA2,0.06,RA1,3.73,1.007,0.245,1.775,88.6,57.2499669154464,37.57098511330555,4222.776153655999,6220.896484375,3381.626708984,
WA1,5.29,RA2,5.28,0.833,0.271,2.559,92.0,52.10257728240577,31.756575240987683,2585.523276790641,5470.555175781,3276.473388672,
WA1,5.59,RA2,0.62,1.29,0.319,2.708,92.6,52.78737588782662,32.51490090387512,2803.340659742673,5617.590332031,3291.343994141,
WA1,1.69,RA2,1.26,0.809,0.509,2.61,88.6,56.19454194486682,36.102481181239476,3887.0732994985474,6099.608398438,3368.025146484,
WA2,0.55,RA1,2.54,0.749,0.202,2.393,90.8,55.87832421796723,36.144699832679464,3786.493329973639,6085.373046875,3365.352783203,
WA2,4.45,RA1,3.31,0.885,0.204,0.549,95.0,54.116013374164886,35.13315895315581,3225.946183136313,5736.666992188,3278.728759766,
WA1,5.01,RA1,3.5,0.633,0.257,1.167,95.3,53.53434199170091,34.29789747702896,3040.932077154968,5698.150390625,3287.668701172,
WA1,1.26,RA2,1.5,0.593,0.551,2.693,86.9,56.9922021618366,36.72297365345747,4140.789933868187,6188.1171875,3383.223876953,
WA1,5.19,RA1,5.86,1.23,0.597,0.416,92.5,54.6144194182278,35.52550975640049,3384.4759140964698,5747.439453125,3278.306396484,
WA2,4.81,RA2,5.18,1.23,0.32,2.437,81.8,52.774619907086006,31.411701178320012,2799.2822289060928,5414.98046875,3266.577880859,
WA1,1.33,RA2,4.9,0.914,0.337,2.458,83.9,56.73352460109375,36.09807838566252,4058.5102029690306,6065.4375,3368.128173828,
WA1,2.39,RA1,1.67,0.562,0.548,1.281,88.7,56.705347509003815,37.05676716915947,4049.5491568507505,6102.546875,3347.831787109,
WA2,0.69,RA1,5.82,0.661,0.633,1.053,81.8,57.763517563464106,37.21358099255989,4386.125220453345,6080.921875,3349.280517578,
WA2,4.37,RA2,1.88,1.046,0.43,1.371,89.8,53.83692757655869,33.91824410171307,3137.175295565296,5664.3203125,3282.716064453,
WA2,4.25,RA1,0.01,1.333,0.442,2.256,92.6,53.64274617252947,33.59757198233841,3075.410701349218,5759.224609375,3303.516845703,
WA1,2.59,RA2,5.69,1.329,0.48,2.108,82.1,55.387886913184275,34.46168829234381,3630.4972359599537,5809.665039063,3325.420166016,
WA2,4.0,RA2,1.96,1.127,0.449,0.858,91.3,54.30587060409151,34.76308149822941,3286.335180684624,5739.377929688,3287.133056641,
WA2,3.69,RA1,1.81,0.993,0.2,1.11,87.3,54.90641110983294,34.832881903750454,3477.352161948548,5781.971679688,3296.043701172,
WA2,2.65,RA2,4.05,0.96,0.557,2.894,92.5,52.83999888845566,32.65642370068227,2820.0789411449523,5620.27734375,3300.970947266,
WA1,3.09,RA2,3.8,0.802,0.568,2.341,91.4,53.88273117492607,33.92558984089164,3151.745336688063,5761.60546875,3318.043701172,
WA1,0.88,RA1,0.28,1.386,0.475,2.386,87.7,58.608563799827266,38.59137785019735,4655.483944557721,6453.172363281,3414.831787109,
WA1,2.97,RA2,1.46,1.09,0.202,2.34,93.1,54.30698662782864,34.59132450155945,3286.688913184907,5870.082519531,3330.255126953,
WA1,1.31,RA2,4.82,1.126,0.409,1.827,95.6,55.685522018359926,36.85976200650325,3725.1676463134677,6118.64453125,3369.143798828,
WA1,0.8,RA2,2.79,0.978,0.452,1.191,92.8,58.11278957134531,39.40992575992293,4497.7905308204545,6406.290527344,3398.758544922,
WA2,4.98,RA2,3.29,1.307,0.535,1.608,84.4,53.38865929825145,32.644611309503624,2994.593101284563,5519.548339844,3269.888427734,
WA1,4.59,RA2,3.13,1.064,0.324,0.555,84.9,55.82179680140689,35.723465304716655,3768.513186625922,5815.829589844,3292.406494141,
